,hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
12565,Resort Hotel,0,35,August,0,2,2,0,0,0,0,F,0,No Deposit,0,Transient,222.8,1,1,Check-Out
19982,City Hotel,1,210,August,1,0,3,0,0,0,0,D,0,No Deposit,0,Transient,162.0,0,0,Canceled
3237,Resort Hotel,1,300,July,2,7,2,0,0,0,0,D,0,No Deposit,0,Transient,125.28,0,0,Canceled
12417,Resort Hotel,0,191,August,3,5,2,0,0,0,0,D,2,No Deposit,0,Transient,196.0,1,0,Check-Out
5363,Resort Hotel,0,40,January,1,2,1,0,0,0,0,E,1,No Deposit,0,Transient-Party,55.0,0,0,Check-Out
10068,Resort Hotel,0,277,May,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,82.1,0,0,Check-Out
20318,City Hotel,0,12,August,0,1,3,0,0,0,0,K,0,No Deposit,0,Transient,260.0,0,1,Check-Out
6394,Resort Hotel,0,22,February,0,1,2,2,0,0,0,G,0,No Deposit,0,Transient,88.0,0,2,Check-Out
11357,Resort Hotel,0,0,July,0,1,2,0,0,0,0,A,3,No Deposit,0,Transient,8.0,0,0,Check-Out
19473,City Hotel,1,224,August,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,112.5,0,0,Canceled
7046,Resort Hotel,0,16,March,2,0,2,0,0,0,0,F,0,No Deposit,0,Transient,75.0,1,3,Check-Out
7624,Resort Hotel,0,326,March,2,5,2,0,0,0,0,I,1,No Deposit,0,Transient,91.8,0,2,Check-Out
8961,Resort Hotel,0,126,April,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,142.43,0,1,Check-Out
1139,Resort Hotel,1,214,April,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,43.2,0,0,Canceled
18816,City Hotel,1,476,July,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,112.67,0,0,Canceled
20356,City Hotel,0,65,August,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,130.0,0,1,Check-Out
12822,Resort Hotel,0,0,August,0,1,2,2,0,0,0,C,1,No Deposit,0,Transient-Party,225.0,0,0,Check-Out
7302,Resort Hotel,0,3,March,2,1,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,60.0,0,2,Check-Out
11483,Resort Hotel,0,155,July,2,5,2,0,0,0,0,F,0,No Deposit,0,Transient,178.43,0,0,Check-Out
1204,Resort Hotel,1,72,April,2,4,2,0,0,0,0,A,0,No Deposit,0,Transient,72.5,0,1,Canceled
16217,City Hotel,1,18,May,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,108.0,0,0,Canceled
16341,City Hotel,1,82,May,0,2,2,0,0,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Canceled
3741,Resort Hotel,1,117,August,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,282.0,0,1,Canceled
5367,Resort Hotel,0,1,January,0,2,1,0,0,0,0,D,0,No Deposit,0,Transient,66.0,0,0,Check-Out
4031,Resort Hotel,0,4,August,0,1,1,0,0,0,2,D,0,No Deposit,0,Transient,135.0,0,0,Check-Out
3867,Resort Hotel,1,77,August,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,198.0,0,0,Canceled
6577,Resort Hotel,0,17,February,4,10,1,0,0,0,0,A,0,No Deposit,0,Transient,30.0,0,0,Check-Out
3412,Resort Hotel,1,42,August,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,212.5,0,0,Canceled
16763,City Hotel,1,123,May,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,108.0,0,1,Canceled
7937,Resort Hotel,0,74,March,2,5,2,2,0,0,0,G,0,No Deposit,0,Transient,113.29,0,1,Check-Out
13753,City Hotel,1,56,February,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,60.0,0,0,Canceled
13257,City Hotel,1,335,January,1,4,2,0,0,0,0,A,1,No Deposit,0,Transient,109.65,0,1,Canceled
11835,Resort Hotel,0,155,July,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,123.0,0,0,Check-Out
1549,Resort Hotel,1,83,May,0,4,2,0,0,0,0,E,0,No Deposit,0,Transient,147.0,0,0,Canceled
11886,Resort Hotel,0,115,July,2,9,2,0,0,0,0,E,2,No Deposit,0,Transient-Party,212.73,0,1,Check-Out
7911,Resort Hotel,0,20,March,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,76.0,0,1,Check-Out
12342,Resort Hotel,0,157,August,0,2,2,2,0,0,0,G,0,No Deposit,0,Transient,314.0,1,3,Check-Out
4554,Resort Hotel,0,16,March,2,2,2,0,0,0,2,E,2,No Deposit,0,Transient-Party,80.0,0,1,Check-Out
2611,Resort Hotel,1,309,June,1,5,2,1,0,0,0,A,0,No Deposit,0,Transient,89.08,0,0,Canceled
19486,City Hotel,1,118,August,1,3,2,0,0,0,0,A,0,No Deposit,0,Transient,125.0,0,1,Canceled
7770,Resort Hotel,0,64,March,2,4,2,1,0,0,0,G,1,No Deposit,0,Transient,94.0,0,1,Check-Out
12642,Resort Hotel,0,163,August,2,8,2,0,0,0,0,D,1,No Deposit,0,Contract,119.85,0,0,Check-Out
17875,City Hotel,1,201,June,0,4,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
15378,City Hotel,1,92,April,0,4,2,0,0,0,0,D,0,No Deposit,0,Transient,135.0,0,1,Canceled
9184,Resort Hotel,0,156,May,2,5,2,0,0,0,0,A,2,No Deposit,0,Transient-Party,82.0,0,1,Check-Out
3441,Resort Hotel,1,180,August,1,1,2,0,0,0,0,D,2,No Deposit,0,Transient,200.0,0,1,Canceled
6199,Resort Hotel,0,1,February,0,1,1,0,0,0,0,D,0,No Deposit,0,Transient-Party,55.0,0,1,Check-Out
12861,Resort Hotel,0,2,August,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,196.25,0,2,Check-Out
124,Resort Hotel,1,135,January,2,4,2,2,0,0,0,G,3,No Deposit,0,Transient,82.0,0,0,Canceled
20111,City Hotel,0,14,August,0,1,1,0,0,0,3,A,1,No Deposit,0,Transient,67.0,1,2,Check-Out
16082,City Hotel,1,127,April,2,3,2,0,0,0,0,D,0,No Deposit,0,Transient,139.5,0,0,Canceled
17838,City Hotel,1,196,June,0,4,1,0,0,0,0,A,0,No Deposit,0,Transient,130.05,0,0,Canceled
12902,Resort Hotel,0,2,August,1,2,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,243.81,1,0,Check-Out
13246,City Hotel,1,38,January,1,3,2,0,0,0,0,A,0,No Deposit,0,Transient,74.8,0,2,Canceled
1580,Resort Hotel,1,54,May,0,3,2,2,0,0,0,G,0,No Deposit,0,Transient,165.0,0,0,Canceled
3251,Resort Hotel,1,4,July,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,192.5,0,2,Canceled
4494,Resort Hotel,0,129,February,0,2,2,0,0,0,3,D,0,No Deposit,0,Transient,64.8,0,2,Check-Out
3771,Resort Hotel,1,199,August,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,123.2,0,0,Canceled
19040,City Hotel,1,130,August,0,3,2,0,0,0,0,D,0,No Deposit,0,Transient,155.0,0,2,Canceled
5911,Resort Hotel,0,0,February,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,56.0,0,0,Check-Out
5781,Resort Hotel,0,0,January,0,1,1,0,0,0,0,D,0,No Deposit,0,Transient,34.4,0,0,Check-Out
9636,Resort Hotel,0,4,May,1,0,2,1,0,0,0,A,1,No Deposit,0,Transient,75.0,0,1,Check-Out
2817,Resort Hotel,1,210,July,2,3,2,0,0,0,0,D,0,No Deposit,0,Transient,136.0,0,0,Canceled
4892,Resort Hotel,0,5,January,1,3,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,40.4,1,1,Check-Out
18771,City Hotel,1,247,July,2,5,2,1,0,0,0,A,0,No Deposit,0,Transient,125.1,0,1,Canceled
10769,Resort Hotel,0,152,June,4,10,2,0,0,0,0,D,0,No Deposit,0,Transient,68.4,0,0,Check-Out
18302,City Hotel,1,282,July,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,141.3,0,1,Canceled
19014,City Hotel,1,247,August,0,4,2,0,0,0,0,A,0,No Deposit,0,Transient,89.1,0,1,Canceled
4964,Resort Hotel,0,14,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,66.4,0,0,Check-Out
2904,Resort Hotel,1,110,July,0,5,2,1,0,0,0,E,0,No Deposit,0,Transient,200.0,0,1,Canceled
1652,Resort Hotel,1,41,May,2,1,2,2,0,0,0,C,0,No Deposit,0,Transient,125.0,0,2,Canceled
6613,Resort Hotel,0,22,February,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,60.0,0,1,Check-Out
12053,Resort Hotel,0,76,August,0,2,2,0,0,0,0,D,2,No Deposit,0,Transient,250.0,0,2,Check-Out
10577,Resort Hotel,0,0,June,0,4,1,0,0,0,0,C,3,No Deposit,0,Transient,140.0,0,0,Check-Out
106,Resort Hotel,1,40,January,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,55.0,0,0,Canceled
2054,Resort Hotel,1,411,May,2,4,2,0,0,0,0,A,0,Non Refund,0,Transient,71.1,0,0,Canceled
15934,City Hotel,1,135,April,1,2,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
20064,City Hotel,1,73,August,0,3,2,0,0,0,0,D,0,No Deposit,0,Transient,162.67,0,1,Canceled
9092,Resort Hotel,0,261,April,2,5,2,0,0,0,0,A,0,No Deposit,0,Contract,42.95,0,1,Check-Out
4985,Resort Hotel,0,39,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42.0,0,1,Check-Out
19573,City Hotel,1,316,August,0,3,0,2,0,0,0,B,0,No Deposit,0,Transient,104.05,0,3,Canceled
407,Resort Hotel,1,74,February,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,40.0,0,0,Canceled
12704,Resort Hotel,0,4,August,2,0,1,0,0,0,0,E,0,No Deposit,0,Transient,0.0,0,1,Check-Out
17448,City Hotel,1,183,June,0,2,1,0,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Canceled
9359,Resort Hotel,0,6,May,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,76.0,0,0,Check-Out
19975,City Hotel,1,89,August,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,118.0,0,1,Canceled
1293,Resort Hotel,1,184,April,1,0,3,0,0,0,0,G,0,No Deposit,0,Transient,117.0,0,1,Canceled
14999,City Hotel,1,75,April,0,4,1,0,0,0,0,A,0,No Deposit,0,Transient-Party,85.0,0,0,Canceled
11037,Resort Hotel,0,178,June,2,5,2,1,0,0,0,C,2,No Deposit,0,Transient,134.4,1,2,Check-Out
15812,City Hotel,1,133,April,0,4,1,0,0,0,0,A,1,No Deposit,0,Transient-Party,90.0,0,0,Canceled
8326,Resort Hotel,0,28,April,0,4,2,2,0,0,0,C,0,No Deposit,0,Transient,151.25,0,2,Check-Out
11097,Resort Hotel,0,257,June,2,5,2,0,1,0,0,E,3,No Deposit,0,Transient,140.0,0,3,Check-Out
966,Resort Hotel,1,19,March,0,2,2,2,0,0,0,C,0,No Deposit,0,Transient,95.0,0,1,Canceled
1780,Resort Hotel,1,72,May,2,5,2,2,0,0,0,C,0,No Deposit,0,Transient,173.0,0,0,Canceled
12829,Resort Hotel,0,215,August,2,5,2,0,1,0,0,A,3,No Deposit,0,Transient-Party,184.54,0,3,Check-Out
2933,Resort Hotel,1,27,July,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,178.0,0,0,Canceled
18692,City Hotel,1,229,July,1,4,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
14603,City Hotel,1,127,March,1,1,2,0,0,0,0,A,0,Non Refund,0,Transient,80.0,0,0,Canceled
6898,Resort Hotel,0,1,February,0,3,2,2,0,0,0,G,0,No Deposit,0,Transient,97.0,0,1,Check-Out
1152,Resort Hotel,1,5,April,0,1,2,0,0,0,0,F,0,Non Refund,0,Transient,100.0,0,0,Canceled
19763,City Hotel,1,207,August,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,97.02,0,0,Canceled
1268,Resort Hotel,1,239,April,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,56.89,0,1,Canceled
18958,City Hotel,1,320,July,0,2,2,0,0,0,0,B,1,No Deposit,0,Transient,93.64,0,1,Canceled
1985,Resort Hotel,1,247,May,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,80.1,0,0,Canceled
95,Resort Hotel,1,18,January,1,0,1,0,0,0,0,F,1,No Deposit,0,Transient,35.0,0,0,Canceled
11764,Resort Hotel,0,172,July,2,2,2,0,0,0,0,A,1,No Deposit,0,Transient,156.0,0,0,Check-Out
18738,City Hotel,1,279,July,1,3,3,0,0,0,0,D,0,No Deposit,0,Transient,139.5,0,0,Canceled
17389,City Hotel,1,134,June,0,2,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
1643,Resort Hotel,1,17,May,2,6,2,2,0,0,0,G,0,No Deposit,0,Transient,168.13,0,0,Canceled
14754,City Hotel,1,50,March,0,4,2,0,0,0,0,A,0,No Deposit,0,Transient,74.8,0,0,Canceled
1064,Resort Hotel,1,45,April,2,2,2,0,0,0,0,E,1,No Deposit,0,Transient,137.0,0,1,Canceled
5261,Resort Hotel,0,0,January,0,1,1,0,0,0,0,A,1,No Deposit,0,Transient,57.0,1,0,Check-Out
7193,Resort Hotel,0,115,March,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,69.67,1,1,Check-Out
14921,City Hotel,1,35,April,0,4,2,0,0,0,0,A,0,No Deposit,0,Transient,140.0,0,0,Canceled
9641,Resort Hotel,0,118,May,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,43.2,0,0,Check-Out
10093,Resort Hotel,0,191,May,0,4,2,0,0,0,0,D,0,No Deposit,0,Transient,111.75,1,0,Check-Out
10521,Resort Hotel,0,320,June,4,10,2,0,0,0,0,D,0,No Deposit,0,Contract,68.4,0,0,Check-Out
7651,Resort Hotel,0,133,March,4,10,2,0,0,0,0,F,0,No Deposit,0,Transient,45.0,0,0,Check-Out
10469,Resort Hotel,0,147,June,2,3,2,0,1,0,0,G,1,No Deposit,0,Transient,180.0,0,2,Check-Out
12190,Resort Hotel,0,12,August,1,4,1,1,0,0,0,D,0,No Deposit,0,Transient,238.26,0,0,Check-Out
5566,Resort Hotel,0,0,January,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,48.0,0,1,Check-Out
749,Resort Hotel,1,339,March,2,5,1,0,0,0,0,D,0,No Deposit,0,Transient-Party,51.0,0,0,Canceled
15063,City Hotel,1,93,April,0,3,1,0,0,0,0,A,0,Non Refund,0,Transient,85.0,0,0,Canceled
2462,Resort Hotel,1,114,June,1,4,2,1,0,0,0,A,1,No Deposit,0,Transient,117.5,0,0,Canceled
6173,Resort Hotel,0,16,February,1,3,2,1,0,0,0,A,0,No Deposit,0,Transient,42.5,0,0,Check-Out
2011,Resort Hotel,1,137,May,0,3,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,108.33,0,0,Canceled
13227,City Hotel,1,71,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,102.6,0,2,Canceled
16268,City Hotel,1,157,May,1,3,2,0,0,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Canceled
18086,City Hotel,1,150,June,2,3,1,0,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Canceled
11461,Resort Hotel,0,132,July,1,4,2,1,0,0,0,D,0,No Deposit,0,Transient,152.9,0,1,Check-Out
4356,Resort Hotel,0,7,April,0,2,1,0,0,1,8,A,0,No Deposit,0,Transient,45.0,0,0,Check-Out
10134,Resort Hotel,0,14,June,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,82.69,0,0,Check-Out
1773,Resort Hotel,1,258,May,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,54.0,0,0,Canceled
10097,Resort Hotel,0,1,June,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient,124.0,1,0,Check-Out
3553,Resort Hotel,1,91,August,2,3,2,1,0,0,0,A,0,No Deposit,0,Transient,273.25,0,0,Canceled
14066,City Hotel,1,50,February,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,95.4,0,1,Canceled
6611,Resort Hotel,0,2,February,0,2,3,0,0,0,0,C,1,No Deposit,0,Transient-Party,82.5,0,0,Check-Out
18831,City Hotel,1,159,July,2,3,1,0,0,0,0,A,0,No Deposit,0,Transient,98.1,0,0,Canceled
1641,Resort Hotel,1,227,May,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,54.0,0,2,Canceled
10438,Resort Hotel,0,100,June,2,2,2,0,0,0,0,E,0,No Deposit,0,Transient,132.5,0,1,Check-Out
12327,Resort Hotel,0,2,August,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,241.0,0,1,Check-Out
20211,City Hotel,0,2,August,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,166.0,0,0,Check-Out
9947,Resort Hotel,0,5,May,2,0,2,0,0,0,0,D,0,No Deposit,0,Transient,88.0,1,0,Check-Out
10317,Resort Hotel,0,1,June,2,1,2,0,0,0,0,A,0,No Deposit,0,Group,135.0,0,0,Check-Out
5982,Resort Hotel,0,14,February,1,1,3,0,0,0,0,C,1,No Deposit,4,Transient-Party,120.0,0,0,Check-Out
14166,City Hotel,1,8,February,0,3,3,0,0,0,0,D,0,No Deposit,0,Transient,168.0,0,0,Canceled
2937,Resort Hotel,1,74,July,2,5,2,0,0,0,0,D,1,No Deposit,0,Transient,230.3,0,0,Canceled
6244,Resort Hotel,0,19,February,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,60.0,0,0,Check-Out
4178,Resort Hotel,0,39,January,2,1,2,0,0,0,0,E,0,No Deposit,0,Transient,35.0,0,0,Check-Out
6360,Resort Hotel,0,34,February,1,1,1,0,0,0,0,A,0,No Deposit,0,Transient,43.0,0,2,Check-Out
14890,City Hotel,1,112,April,0,2,2,0,0,0,0,B,1,Non Refund,0,Transient,95.0,0,0,Canceled
13642,City Hotel,1,38,January,0,1,1,0,0,0,0,A,0,Non Refund,0,Transient,75.0,0,0,Canceled
773,Resort Hotel,1,26,March,0,5,2,0,0,0,0,E,0,No Deposit,0,Transient-Party,80.0,0,0,Canceled
7477,Resort Hotel,0,15,March,1,1,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,82.0,1,1,Check-Out
3710,Resort Hotel,1,149,August,1,3,2,0,0,0,0,E,0,No Deposit,0,Transient,240.0,0,2,Canceled
6032,Resort Hotel,0,6,February,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,41.65,0,0,Check-Out
15240,City Hotel,1,248,April,2,0,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,80.0,0,0,Canceled
1206,Resort Hotel,1,227,April,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,65.04,0,2,Canceled
4452,Resort Hotel,0,1,January,1,2,1,0,0,0,13,A,1,No Deposit,0,Transient,35.0,0,1,Check-Out
2867,Resort Hotel,1,4,July,1,0,2,0,0,0,0,D,0,No Deposit,0,Transient,125.0,0,1,Canceled
18111,City Hotel,1,125,June,2,0,2,0,0,0,0,A,0,No Deposit,0,Transient,117.0,0,0,Canceled
17398,City Hotel,1,134,June,0,2,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
947,Resort Hotel,1,188,March,4,11,1,0,0,0,0,E,0,No Deposit,0,Transient,74.28,0,0,No-Show
14588,City Hotel,1,127,March,1,1,2,0,0,0,0,A,0,Non Refund,0,Transient,80.0,0,0,Canceled
10452,Resort Hotel,0,255,June,3,7,2,0,0,0,0,D,0,No Deposit,0,Contract,98.4,0,0,Check-Out
15439,City Hotel,1,7,April,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,160.0,0,1,Canceled
18422,City Hotel,1,270,July,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,99.9,0,1,Canceled
